;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
Desember '08;30,7 (54);17,4 (30);23,7 (45);7,8 (12);5,7 (9);6,3 (10);5,5 (9);0,0 (0);0,4 (0);0,0 (0)
November '08;31,4 (55);15,9 (26);24,2 (45);7,8 (13);5,5 (9);6,6 (11);5,8 (10);0,0 (0);1,4 (0);0,0 (0)
Oktober '08;30,6 (55);16,1 (28);26,7 (49);7,3 (11);5,3 (8);5,6 (9);5,5 (9);0,0 (0);1,2 (0);0,0 (0)
September '08;28,9 (54);15,2 (23);29,9 (56);6,3 (10);5,0 (8);5,7 (9);5,9 (9);0,0 (0);1,5 (0);0,0 (0)
August '08;26,6 (49);16,2 (27);30,9 (54);6,7 (11);5,2 (9);5,5 (9);6,0 (10);0,0 (0);1,7 (0);0,0 (0)
Juli '08;26,9 (51);17,2 (29);30,2 (52);6,6 (10);4,7 (7);6,1 (10);5,4 (9);0,0 (0);1,9 (1);0,0 (0)
Juni '08;26,0 (49);17,6 (29);28,9 (51);6,9 (11);5,3 (9);6,1 (10);5,9 (10);0,0 (0);1,8 (0);0,0 (0)
Mai '08;28,9 (52);17,8 (30);25,9 (47);6,7 (11);5,7 (9);6,2 (10);6,2 (10);0,0 (0);1,4 (0);0,0 (0)
April '08;29,0 (52);16,9 (29);25,4 (47);6,5 (10);5,5 (9);7,0 (11);6,8 (11);0,0 (0);1,2 (0);0,0 (0)
Mars '08;28,7 (52);18,1 (31);25,2 (46);7,0 (11);5,6 (9);6,1 (10);6,3 (10);0,0 (0);1,1 (0);0,0 (0)
Februar '08;29,0 (52);17,3 (29);25,2 (46);6,7 (11);5,9 (10);6,3 (10);6,6 (11);0,0 (0);1,3 (0);0,0 (0)
Januar '08;29,3 (52);17,2 (29);23,9 (45);7,4 (12);6,1 (10);6,4 (10);6,5 (11);0,0 (0);1,3 (0);0,0 (0)
